year,event,incident_number,incident_start,incident_end,declaration_date,declaration_url,state,incident_type,valid_ihp_applications,eligible_ihp_applications,ihp_eligibility_rate,ihp_average_award,ihp_total,pa_total,pa_projects_count,cdbg_dr_allocation,frn1_date,frn1_days_since_disaster,frn1_url,frn1_grantee1_name,frn1_grantee1_url,frn1_grantee1_amount,frn1_grantee2_name,frn1_grantee2_url,frn1_grantee2_amount,frn1_grantee3_name,frn1_grantee3_url,frn1_grantee3_amount,frn1_grantee4_name,frn1_grantee4_url,frn1_grantee4_amount,frn1_grantee5_name,frn1_grantee5_url,frn1_grantee5_amount,frn1_grantee6_name,frn1_grantee6_url,frn1_grantee6_amount,frn1_grantee7_name,frn1_grantee7_url,frn1_grantee7_amount,frn1_grantee8_name,frn1_grantee8_url,frn1_grantee8_amount,frn1_grantee9_name,frn1_grantee9_url,frn1_grantee9_amount,frn2_date,frn2_url,frn2_grantee1_name,frn2_grantee1_url,frn2_grantee1_amount,frn2_grantee2_name,frn2_grantee2_url,frn2_grantee2_amount,frn2_grantee3_name,frn2_grantee3_url,frn2_grantee3_amount,frn2_grantee4_name,frn2_grantee4_url,frn2_grantee4_amount,frn3_date,frn3_url,frn3_grantee1_name,frn3_grantee1_url,frn3_grantee1_amount,frn3_grantee2_name,frn3_grantee2_url,frn3_grantee2_amount,frn3_grantee3_name,frn3_grantee3_url,frn3_grantee3_amount,frn3_grantee4_name,frn3_grantee4_url,frn3_grantee4_amount,frn4_date,frn4_url,frn4_grantee1_name,frn4_grantee1_url,frn4_grantee1_amount
2004,"Virginia Severe Storms, Flooding and Tornadoes Associated With Tropical Depression Gaston",1544,2004-08-30,2004-09-08,2004-09-03,https://www.fema.gov/disaster/1544,VA,Severe Storm,5198,3272,63.0,2831,9262095,20353633,494,1431004,2004-12-10,98,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,Commonwealth of Virginia,,1431004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Florida Hurricane Frances,1545,2004-09-03,2004-10-08,2004-09-04,https://www.fema.gov/disaster/1545,FL,Hurricane,456999,229227,50.2,1797,411815686,673256760,9489,25228907,2004-12-10,97,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of Florida,,25228907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,North Carolina Tropical Storm Frances,1546,2004-09-07,2004-09-12,2004-09-10,https://www.fema.gov/disaster/1546,NC,Hurricane,13752,7790,56.7,2733,21289504,17819724,869,1523327,2004-12-10,91,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of North Carolina,,1523327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,South Carolina Tropical Storm Gaston,1547,2004-08-28,2004-08-30,2004-09-15,https://www.fema.gov/disaster/1547,SC,Severe Storm,NA,NA,NA,NA,NA,12501586,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Louisiana Hurricane Ivan,1548,2004-09-13,2004-09-26,2004-09-15,https://www.fema.gov/disaster/1548,LA,Hurricane,9345,3043,32.6,1397,4252023,8714764,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Alabama Hurricane Ivan,1549,2004-09-13,2004-09-30,2004-09-15,https://www.fema.gov/disaster/1549,AL,Hurricane,165327,89229,54.0,2132,190193143,218224618,3534,10965311,2004-12-10,86,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of Alabama,,10965311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Mississippi Hurricane Ivan,1550,2004-09-13,2004-09-20,2004-09-15,https://www.fema.gov/disaster/1550,MS,Hurricane,10242,4531,44.2,1879,8514433,13964371,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Florida Hurricane Ivan,1551,2004-09-13,2004-11-17,2004-09-16,https://www.fema.gov/disaster/1551,FL,Hurricane,146317,79164,54.1,2078,164517308,685918574,3762,25228907,2004-12-10,85,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of Florida,,25228907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Puerto Rico Tropical Storm Jeanne and Resulting Landslides and Mudslides,1552,2004-09-14,2004-09-19,2004-09-17,https://www.fema.gov/disaster/1552,PR,Severe Storm,196417,159978,81.5,2603,416500859,40270032,1628,3999482,2004-12-10,84,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,Commonwealth of Puerto Rico,,3999482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,North Carolina Hurricane Ivan,1553,2004-09-16,2004-09-23,2004-09-18,https://www.fema.gov/disaster/1553,NC,Hurricane,7696,4010,52.1,3335,13371728,31976931,1322,1523327,2004-12-10,83,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of North Carolina,,1523327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Georgia Hurricane Ivan,1554,2004-09-14,2004-10-30,2004-09-18,https://www.fema.gov/disaster/1554,GA,Hurricane,2674,1305,48.8,3252,4243819,11529605,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Pennsylvania Severe Storms and Flooding Associated With Tropical Depression Frances,1555,2004-09-08,2004-09-09,2004-09-19,https://www.fema.gov/disaster/1555,PA,Severe Storm,1440,953,66.2,3609,3439214,NA,NA,632061,2004-12-10,82,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,Commonwealth of Pennsylvania,,632061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Ohio Severe Storms and Flooding,1556,2004-08-27,2004-09-27,2004-09-19,https://www.fema.gov/disaster/1556,OH,Severe Storm,8986,6123,68.1,3864,23662227,24885859,1677,657180,2004-12-10,82,https://www.govinfo.gov/content/pkg/FR-2004-12-10/pdf/04-27201.pdf,State of Ohio,,657180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
