# Title: United States Billion-Dollar Disasters Cost per Capita (CPI-Adjusted)
# Cost values are in dollars

State,Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
US,1990,0,0,0,0,0,0,0,0,1,9.9,8.7,11.5,8.7,12.7,7.9,12.7,1,33.3,25.4,41.2,24.6,42.4,23.8,43.2,1,7.9,7.5,9.5,7.5,10.7,6.7,10.7,0,0,0,0,0,0,0,0,1,6.7,5.5,9.5,7.5,10.3,8.7,10.3,0,0,0,0,0,0,0,0,4,57.9,47.1,71.7,48.3,76.1,47.1,76.9
US,1991,1,27.4,27.4,35.6,26.6,37.6,25.8,38.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.9,5.5,6.3,4.7,7.4,4.7,7.4,1,13.7,11.7,16.4,11,16.4,9.8,17.2,1,29.7,23.5,34,22.7,36,20.7,37.9,0,0,0,0,0,0,0,0,4,76.7,68.1,92.3,65,97.4,61,100.8
US,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27.8,25.1,31.3,25.1,34,22.8,34,2,260.3,232.9,282.7,224,292,219.4,298.6,0,0,0,0,0,0,0,0,1,21.2,18.9,23.2,18.2,23.9,18.2,24.7,7,309.4,276.9,337.2,267.3,349.9,260.4,357.3
US,1993,1,10.7,11.1,12.6,10.3,13.3,10.3,13.3,1,176.5,124.7,168.5,117.1,176.2,112.1,181.9,0,0,0,0,0,0,0,0,1,5.3,4.2,5,4.2,5.7,3.4,5.7,0,0,0,0,0,0,0,0,1,11.4,8.4,11.4,8.4,12.6,7.6,13.3,1,46.5,42.7,49.6,41.9,51.1,39.3,53.8,5,250.5,191.1,247.1,181.9,258.9,172.7,268
US,1994,0,0,0,0,0,0,0,0,1,7.9,7.9,11.3,7.2,12.1,7.2,12.8,0,0,0,0,0,0,0,0,1,7.9,7.2,7.9,7.2,9,6.4,9,1,7.9,7.2,9.8,6.4,9.8,6.4,9.8,1,5.6,4.9,7.2,4.9,7.2,4.1,7.9,2,32.4,28.6,35.7,27.5,36.5,26.8,36.5,6,61.8,55.8,71.9,53.2,74.6,50.9,76
US,1995,1,7.4,7.1,8.6,6,10,5.2,10.8,1,19.7,12.6,18.6,10.8,20.5,10.8,20.5,0,0,0,0,0,0,0,0,2,46.9,36.1,48.4,33.1,51.7,31.6,54,3,58.4,53.2,68.4,51.7,74.5,50.2,77.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,132.4,109,144,101.6,156.7,97.8,162.6
US,1996,1,13.6,12.9,17.3,12.9,18.7,12.1,19.5,2,12.9,10.3,15.8,10.3,16.6,9.5,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.7,33.8,43.4,31.6,45.6,30.1,47,0,0,0,0,0,0,0,0,1,22.4,18,24.6,17.3,26.1,17.3,26.8,5,85.6,75,101.1,72.1,107,69,110.6
US,1997,0,0,0,0,0,0,0,0,2,48.3,44.2,65.4,41.8,68.2,38.8,71.1,0,0,0,0,0,0,0,0,1,6.9,6.5,8,6.5,8,5.8,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,55.2,50.7,73.4,48.3,76.2,44.6,79.8
US,1998,1,24.8,21.2,25.8,20.4,27.3,19.7,28,1,6.5,5.4,8.3,5.4,9,4.7,9,1,17.6,14,21.2,13.3,21.5,13.3,21.5,4,32.6,29.3,34.9,27.2,37,26.5,38.9,3,53.5,45.6,59.2,43.1,63.4,42.4,64.9,0,0,0,0,0,0,0,0,1,9.7,7.5,9.7,7.5,10.4,7.2,11.1,11,144.6,123,159.1,116.9,168.6,113.8,173.4
US,1999,1,17,15.6,18.4,14.9,18.4,14.9,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.5,11.3,14.9,11.3,15.6,10.6,16.3,1,43.3,37.9,46.8,36.5,48.6,35.5,50,0,0,0,0,0,0,0,0,2,13.1,12,14.9,11.3,16.3,10.6,17.8,5,86.9,76.8,95,74,98.9,71.6,103.2
US,2000,1,32.5,30.7,35.3,29.3,36.7,28.6,37.4,1,5.6,3.1,6.3,4.5,7,3.1,7,0,0,0,0,0,0,0,0,1,4.5,5.9,7.7,5.9,8.4,5.9,8.4,0,0,0,0,0,0,0,0,1,7,6.3,7.7,6.3,7.7,5.9,8.4,1,4.5,3.8,5.2,3.1,5.2,3.1,5.9,5,54.2,49.8,62.2,49.1,65,46.6,67.1
US,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23.2,21.1,24.2,20.4,25.3,19.7,25.6,1,52.2,43.9,55.7,42.2,58.8,41.2,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75.4,65,79.9,62.6,84.1,60.9,86.1
US,2002,1,54.8,54.8,60.3,53.8,61.7,53.1,62.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17.1,15.4,18.2,14.7,19.2,14.4,19.2,2,13.4,12,15.1,11,16.5,11,16.8,1,7.9,6.5,8.9,5.8,9.6,5.8,10.3,0,0,0,0,0,0,0,0,6,93.2,88.7,102.5,85.3,107,84.3,108.7
US,2003,1,29.6,27.2,30.3,26.5,30.6,26.2,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46.9,42.2,52.4,40.5,54.4,39.1,56.1,1,31.6,27.2,33,26.2,34.7,26.2,35.3,1,22.4,19,23.8,18.4,24.8,18,26.2,0,0,0,0,0,0,0,0,7,130.5,115.6,139.5,111.6,144.5,109.5,148.9
US,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.8,9.1,10.5,8.5,11.2,7.8,11.8,4,300.8,269.2,321.7,261.4,332.8,257.7,338.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,310.5,278.3,332.2,269.9,344,265.5,350.6
US,2005,1,8,8.3,9.3,7.7,9.3,7.7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.7,4.3,5,4.3,5,3.7,5,4,883.5,741.7,965.6,703.9,1020.7,680.5,1056.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,896.2,754.3,979.9,715.9,1035,691.9,1071.1
US,2006,1,31.4,29.4,34.1,28.8,35.4,28.4,35.7,1,7.9,7.3,10.9,6.6,11.9,6.3,12.2,0,0,0,0,0,0,0,0,5,36.4,33.4,38,32.1,39.1,30.7,40.4,0,0,0,0,0,0,0,0,1,7.6,6.9,8.3,6.9,8.9,6.3,8.9,0,0,0,0,0,0,0,0,8,83.3,77,91.3,74.4,95.3,71.7,97.2
US,2007,1,18,18,20,17.4,20.3,17.4,20.3,0,0,0,0,0,0,0,0,2,17.7,15.4,19.9,15,21,14.4,21,1,12.4,11.1,12.4,10.5,12.4,10.5,13.1,0,0,0,0,0,0,0,0,1,13.4,12.8,14.7,12.4,15.4,11.8,16.4,0,0,0,0,0,0,0,0,5,61.6,57.3,67,55.3,69.1,54.1,70.8
US,2008,1,33.8,31.8,36.3,30.8,37.6,30.5,38.3,1,48,37.6,47.4,35.7,49.3,34.7,50.3,0,0,0,0,0,0,0,0,6,43.2,40.9,46.4,38.6,47.4,37,47.8,3,174,159.6,187,155.1,193.2,152.8,196.7,1,5.8,5.5,6.5,5.2,6.5,4.5,7.1,0,0,0,0,0,0,0,0,12,304.7,275.4,323.6,265.4,334,259.5,340.2
US,2009,1,16.7,16.4,20.3,15.8,21.2,15.4,21.6,1,4.2,3.2,4.2,2.9,4.2,2.9,4.2,0,0,0,0,0,0,0,0,6,38,35.5,38.3,34.5,39.2,33.1,40.1,0,0,0,0,0,0,0,0,1,4.8,4.2,5.1,4.2,5.8,3.9,5.8,0,0,0,0,0,0,0,0,9,63.7,59.3,67.9,57.4,70.4,55.3,71.7
US,2010,0,0,0,0,0,0,0,0,2,19.2,14.1,19.7,13,20.7,12.7,22.4,0,0,0,0,0,0,0,0,4,41.5,40.1,47,39.2,48.2,38.6,49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.8,3.8,4.8,3.8,5.1,3.8,5.1,7,64.5,58,71.5,56,74,55.1,76.6
US,2011,1,54.2,48.8,55.8,47.5,57.7,47.2,59,2,22.8,21.8,26,20.6,27.3,20,27.9,0,0,0,0,0,0,0,0,10,142.9,130.8,153.5,127.4,160.3,122.7,167.8,2,70.7,61.5,76.7,59.9,80.2,58.9,82,1,7.9,6.7,8.9,6.3,9.2,5.7,9.8,2,12.4,10.2,12.3,9.5,13,9.5,13.6,18,310.9,279.8,333.2,271.2,347.7,264,360.1
US,2012,1,131.2,126.5,141.6,123.7,145.7,122.1,147.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70.8,64.8,73,63.5,74.6,63.5,75.5,2,290.5,240.8,317.6,228.2,334.9,221,344.6,1,7.6,6.6,8.2,6.6,8.5,6,9.1,0,0,0,0,0,0,0,0,11,500.1,438.7,540.4,422,563.7,412.6,577.1
US,2013,1,44.7,42.5,48.8,41.3,50,40.3,51.3,2,10.9,10,13.4,8.8,14.4,8.8,14.7,0,0,0,0,0,0,0,0,7,45.3,42.3,48.1,41.5,49.4,40.9,50.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,101,94.8,110.3,91.6,113.8,90,116.7
US,2014,1,16.5,14.3,18.9,13.3,20.2,12.7,21.1,1,4.3,4,5,3.4,5,3.4,5,0,0,0,0,0,0,0,0,7,49.1,46.9,52.6,46,54.4,45.7,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,8.7,9.9,8.1,10.6,7.5,10.9,10,78.9,73.9,86.4,70.8,90.2,69.3,92.3
US,2015,1,18.5,16.6,23.7,15.7,25.9,15.1,27.1,2,18.8,15.1,19.1,14.5,19.7,14.2,20.6,0,0,0,0,0,0,0,0,6,33.6,31.7,36.6,31.1,38.6,30.5,39.2,0,0,0,0,0,0,0,0,1,12.3,11.4,12.9,11.1,12.9,11.1,13.6,1,12.3,12,12.9,11.7,13.3,11.1,13.6,11,95.6,86.8,105.2,84.1,110.4,82,114.1
US,2016,1,14.1,9.8,15.6,8.9,16.2,8.3,17.1,4,65.2,50.6,76.2,47.7,80.1,44.4,83.4,0,0,0,0,0,0,0,0,8,58.8,51.7,60.9,48.7,61.8,48.4,63.6,1,40.1,29.7,43.8,28.8,45,28.2,46.2,1,9.5,8.6,10.1,8,10.1,8,10.4,0,0,0,0,0,0,0,0,15,187.7,150.4,206.6,142.1,213.2,137.3,220.7
US,2017,1,10,7.6,10.7,7,11.6,6.7,11.9,2,12.8,9.8,14.3,8.6,14.9,8.3,15.8,1,4,3,4.3,3,4.9,2.7,4.9,11,75.2,70.3,81.1,67.5,83.8,64.1,87.8,3,1032.3,833.8,1196,749.9,1314.8,701.1,1363.5,1,70.6,58.1,80.3,55.7,86.4,55.1,88.3,0,0,0,0,0,0,0,0,19,1204.9,982.6,1386.7,891.7,1516.4,838,1572.2
US,2018,1,11.5,10.3,13,10,13.3,9.7,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,51.5,46.4,55.9,44,59.5,42.4,63.2,2,185.4,151.5,219.6,132.6,238.7,115.7,255.7,1,90.9,75.1,107.2,72.1,110,68.2,113.6,2,12.4,10.6,13.6,10,14.8,9.7,15.5,16,351.7,293.9,409.3,268.7,436.3,245.7,462.5
US,2019,0,0,0,0,0,0,0,0,3,74.5,59.7,87.4,56.9,91.9,53.6,102.9,0,0,0,0,0,0,0,0,8,51.3,47.5,58,44.5,60.1,43,63.1,2,24.7,15.7,31,14.8,33.4,13.5,35.5,1,16.6,12.4,19.6,11.2,22.3,9.3,24.1,0,0,0,0,0,0,0,0,14,167,135.3,196,127.4,207.7,119.4,225.6
US,2020,1,16.1,14,18.2,13.4,19.1,12.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,121.5,111.8,133.6,107.3,138.9,103.2,143.9,7,163,135.9,179.6,127.5,181.5,120.6,191.3,1,59.4,48.6,70.4,46.9,67.7,45.1,74,0,0,0,0,0,0,0,0,22,359.9,310.3,401.8,295.1,407.2,281.4,429.2
US,2021,1,30.4,28.9,32.2,27.1,34.6,25.6,36.4,2,8.6,7.5,10.2,7.2,10.8,6.6,11.4,0,0,0,0,0,0,0,0,11,69.7,58.9,76.9,57.4,81.3,54.1,84.3,4,264.3,224.5,305.5,212.5,317.5,192.3,339.8,1,36.1,29.5,41.1,27.4,43.5,25.6,45.3,1,81.1,71.5,94.2,69.1,96.8,65,100.4,20,490.2,420.8,560.1,400.7,584.5,369.2,617.6
US,2022,1,69.8,62.1,79.6,59.4,81.1,57.3,84.3,1,4.8,3.9,5.3,3.6,5.6,3.3,6.2,0,0,0,0,0,0,0,0,11,67.7,62.4,70.8,59.4,74,57.1,77.4,3,366.4,302,414.9,281.5,441,253.7,475.5,1,9.8,8,11.3,7.4,11.6,7.1,11.9,1,26.7,24.1,28.2,22.6,30.6,21.4,32.4,18,545.2,462.5,610.1,433.9,643.9,399.9,687.7
US,2023,1,43.7,38.7,51.1,36.9,53.2,35.2,55.6,4,27.5,23.1,32.4,20.2,35.1,18.1,38.1,0,0,0,0,0,0,0,0,19,164.6,148.7,176.3,142.3,184.4,137.2,189.4,2,23.6,19.5,26.6,18.3,29.5,16.9,31.6,1,16.8,12.1,18.6,11.2,20.1,10.3,21.9,1,5.3,4.7,6.2,4.4,6.5,4.1,6.8,28,281.6,246.8,311.2,233.3,328.8,221.8,343.4
US,2024,1,16,13.3,19.5,13,20.1,12.4,21,1,3.3,3,3.8,2.7,4.1,2.4,4.1,0,0,0,0,0,0,0,0,17,138.3,126.2,148.9,121.2,153,115.8,158.1,5,366.4,307.9,424,295.8,437.1,286.4,450.4,1,5.3,4.1,5.9,3.5,6.2,3.5,6.2,2,10.6,10,12.4,9.4,13,8.8,13.6,27,539.9,464.5,614.5,445.6,633.5,429.3,653.4
